id,title,permalink,thumbnail_625,number_serves,total_time,active_time
100020,Perfect Thin and Crispy French Fries,http://www.seriouseats.com/recipes/2010/05/perfect-french-fries-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100526-mcdonalds-fries-26-thumb-625xauto-91915.jpg,four,,
100030,Dinner Tonight: Rice and Bean Chimichanga,http://www.seriouseats.com/recipes/2010/05/rice-and-bean-chimichanga-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100527_dt_chimichanga1-thumb-625xauto-91870.jpg,,,
100056,Cook the Book: Radish Salad,http://www.seriouseats.com/recipes/2010/05/radish-arugula-salad-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100528radishsalad-thumb-625xauto-91899.jpg,6,,
100098,Pork Roll Double Meat Dog,http://www.seriouseats.com/recipes/2010/05/pork-roll-double-meat-dog-recipe.html,,,,
100127,Time for a Drink: the Michelada,http://www.seriouseats.com/recipes/2010/05/time-for-a-drink-the-michelada.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100528-michelada-thumb-625xauto-92045.jpg,,,
100138,Sauteed Mizuna with Garlic and Fish Sauce,http://www.seriouseats.com/recipes/2010/05/sauteed-mizuna-with-garlic-and-fish-sauce-recipe.html,,,,
100158,Sunday Brunch: 'Fromage Blanc' with Spring Onion,http://www.seriouseats.com/recipes/2010/05/sunday-brunch-fromage-blanc-with-spring-onion-radishes-dips-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100530dip_big-thumb-625xauto-92037.jpg,,,
100256,Cook the Book: Apricot Cake,http://www.seriouseats.com/recipes/2010/05/apricot-cake-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100521apricotcake-thumb-625xauto-92128.jpg,6,,
100392,Cook the Book: Farro and Shrimp Salad,http://www.seriouseats.com/recipes/2010/06/cook-the-book-farro-and-shrimp-salad-recipe.html,,4,,
100403,The Nasty Bits: Pigs' Feet,http://www.seriouseats.com/recipes/2010/06/the-nasty-bits-grilled-pigs-feet-trotters-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100601-pf-grilled-thumb-625xauto-92401.jpg,,,
100404,The Crisper Whisperer: 7 Things To Do with Garlic Scapes,http://www.seriouseats.com/recipes/2010/06/the-crisper-whisperer-what-to-do-with-garlic-scapes-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100531garlicscapes-thumb-625xauto-92281.jpg,,,
100415,Sous Vide Glazed Carrots,http://www.seriouseats.com/recipes/2010/06/sous-vide-glazed-carrots-recipe.html,http://www.seriouseats.com/recipes/assets_c/2015/10/20151023-sous-vide-carrots-kenji-thumb-625xauto-427428.jpg,Serves 4 to 6,About 1 hour,10 minutes
100430,Bread Baking: Peanut Butter Bread with White Whole Wheat,http://www.seriouseats.com/recipes/2010/06/bread-baking-peanut-butter-bread-with-white-whole-wheat-flour-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100601-pb-bread-hp-thumb-625xauto-92480.jpg,,,
100438,"Dinner Tonight: Shaved Asparagus, Pea, and Prosciutto Salad",http://www.seriouseats.com/recipes/2010/06/dinner-tonight-shaved-asparagus-pea-and-prosciutto-salad-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/05/20100601-dt-asparagus-and-prosciutto-salad-thumb-625xauto-92331.jpg,serves 4,15 minutes,15 minutes
100470,Gluten-Free Tuesday: Tamari Sauce,http://www.seriouseats.com/recipes/2010/06/gluten-free-tuesday-tamari-sauce.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100601-tamari-hp-thumb-625xauto-92542.jpg,,,
100471,Eat for Eight Bucks: Sweet Edamame with Hijiki,http://www.seriouseats.com/recipes/2010/06/eat-for-eight-bucks-sweet-edamame-with-hijiki.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100601edamame_big-thumb-625xauto-92367.jpg,3,,
100569,Cook the Book: Strawberry Risotto,http://www.seriouseats.com/recipes/2010/06/strawberry-risotto-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100602strawberryrisotto-thumb-625xauto-92496.jpg,4,,
100575,Strawberry Salad,http://www.seriouseats.com/recipes/2010/06/strawberry-salad-recipe.html,,4,,
100580,"Cook the Book: Radicchio, Turkey, and Snow Pea Salad",http://www.seriouseats.com/recipes/2010/06/radicchio-turkey-and-snow-pea-salad-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100603snowpeaturkeyandradicchiosalad-thumb-625xauto-92506.jpg,4,,
100627,Dinner Tonight: Yucatecan Papaduzul (Enchiladas Stuffed with Hard-Boiled Eggs),http://www.seriouseats.com/recipes/2010/06/yucatecan-papaduzul-enchiladas-stuffed-with-hard-boiled-eggs-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100602_dt_pumpkinseed_enchiladas1-thumb-625xauto-92572.jpg,,,
100701,French in a Flash: Salmon with Sorrel and Asparagus en Papillote,http://www.seriouseats.com/recipes/2010/06/french-in-a-flash-salmon-with-sorrel-en-papillote-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100602SorrelSalmon610-thumb-625xauto-92691.jpg,1,,
100810,Dinner Tonight: Green Rice with Pistachios,http://www.seriouseats.com/recipes/2010/06/dinner-tonight-green-rice-with-pistachios-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100603-dt-green-rice-with-pistachios-thumb-625xauto-92828.jpg,6 cups,,
100816,Deborah Madison's Apricot Fold-Over Pie,http://www.seriouseats.com/recipes/2010/06/deborah-madisons-apricot-fold-over-pie-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100603apricotfoldoverpie-thumb-625xauto-92910.jpg,,,
100846,The Secret Ingredient (Key Lime): Key Lime Scallop Ceviche,http://www.seriouseats.com/recipes/2010/06/the-secret-ingredient-key-lime-key-lime-scallop-ceviche-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100603KeyLimeScallopCeviche610-thumb-625xauto-92883.jpg,,,
100873,"Seriously Asian: Naengmyeon, Korean Cold Noodles",http://www.seriouseats.com/recipes/2010/06/seriously-asian-naengmyeon-naengmyun-korean-cold-noodles.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100604-seasian-primary-thumb-625xauto-93140.jpg,,,
100890,Greek-American Lamb Gyros,http://www.seriouseats.com/recipes/2010/06/greek-american-lamb-gyros-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100604-Gyros-primary-thumb-625xauto-92922.jpg,4,,
100953,Grilled Cubanos,http://www.seriouseats.com/recipes/2010/06/grilling-cubanos-cuban-sandwiches-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100603-cubano-large-thumb-625xauto-93006.jpg,,,
100974,Cook the Book: Stuffed Salmon Trout with Almonds and Yogurt,http://www.seriouseats.com/recipes/2010/06/stuffed-salmon-trout-with-almonds-and-yogurt-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100614seatroutwithalmondsandyogurt-thumb-625xauto-93036.jpg,4,,
100976,Sunday Brunch: Bacon Cheddar Broiled Grits,http://www.seriouseats.com/recipes/2010/06/sunday-brunch-bacon-cheddar-broiled-grits.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100606grits_big-thumb-625xauto-93040.jpg,4-6,,
101036,Dinner Tonight: Six-Spice Hanger Steak ,http://www.seriouseats.com/recipes/2010/06/six-spice-hanger-steak-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100604_dt_hangersteak1-thumb-625xauto-93117.jpg,4 to 6,,
101037,Time for a Drink: the Maiden's Prayer,http://www.seriouseats.com/recipes/2010/06/time-for-a-drink-the-maidens-prayer.html,http://www.seriouseats.com/recipes/assets_c/2011/01/20110118strainerprimary-thumb-625xauto-134384.jpg,,,
101128,Cakespy: Pop-Tarts Ice Cream Sandwiches,http://www.seriouseats.com/recipes/2010/06/pop-tart-ice-cream-sandwiches-cakespy.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100606poptarticecream2-thumb-625xauto-93387.jpg,,,
101207,Gluten-Free Tuesday: Graham Crackers,http://www.seriouseats.com/recipes/2010/06/gluten-free-graham-crackers-recipe.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100608GrahamCrackers1A-thumb-625xauto-93284.jpg,about 12 graham crackers,,
101249,Healthy & Delicious: Tabbouleh Salad,http://www.seriouseats.com/recipes/2010/06/healthy-delicious-tabbouleh-salad.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100607TabboulehSalad-thumb-625xauto-93333.jpg,about 5 cups,,
101262,Eat for Eight Bucks: Quick Squash and Hominy Stew,http://www.seriouseats.com/recipes/2010/06/eat-for-eight-bucks-quick-squash-and-hominy-s.html,http://www.seriouseats.com/recipes/assets_c/2010/06/20100608hominy stew_big-thumb-625xauto-93349.jpg,,,
